GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,Event_Type,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,,att,made,,,,,,
Shot Chart Detail,22100107,648,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,28,Made Shot,1,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-99,158,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,204,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,24,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-96,110,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100002,193,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,20,Made Shot,1,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-87,24,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100093,236,2544,LeBron James,1610612747,Los Angeles Lakers,2,8,24,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-78,164,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100025,7,2544,LeBron James,1610612747,Los Angeles Lakers,1,11,38,Missed Shot,0,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,162,1,0,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100093,445,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,9,Missed Shot,0,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,51,172,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,619,2544,LeBron James,1610612747,Los Angeles Lakers,4,3,41,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,53,149,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100093,257,2544,LeBron James,1610612747,Los Angeles Lakers,2,6,30,Made Shot,1,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,147,105,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,36,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,25,Made Shot,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,196,36,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100002,356,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,42,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,0,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100040,251,2544,LeBron James,1610612747,Los Angeles Lakers,2,6,6,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,16,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100077,210,2544,LeBron James,1610612747,Los Angeles Lakers,2,8,10,Made Shot,1,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100077,298,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,42,Missed Shot,0,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,13,1,0,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100025,462,2544,LeBron James,1610612747,Los Angeles Lakers,3,3,3,Missed Shot,0,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,19,1,0,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100040,374,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,46,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,17,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100077,33,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,27,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,17,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100002,462,2544,LeBron James,1610612747,Los Angeles Lakers,3,6,23,Made Shot,1,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,32,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100077,569,2544,LeBron James,1610612747,Los Angeles Lakers,4,5,53,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100077,328,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,20,Made Shot,1,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,14,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100077,590,2544,LeBron James,1610612747,Los Angeles Lakers,4,3,59,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100093,425,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,21,Missed Shot,0,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100025,543,2544,LeBron James,1610612747,Los Angeles Lakers,4,10,1,Made Shot,1,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,1,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100107,576,2544,LeBron James,1610612747,Los Angeles Lakers,4,7,27,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100040,603,2544,LeBron James,1610612747,Los Angeles Lakers,4,4,34,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,24,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100040,122,2544,LeBron James,1610612747,Los Angeles Lakers,1,3,54,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100107,243,2544,LeBron James,1610612747,Los Angeles Lakers,2,6,46,Made Shot,1,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,374,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,21,Made Shot,1,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100093,420,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,39,Missed Shot,0,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,0,20211031,LAL,HOU,,,,,,,,,
